Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
26/01/1995;     45,65;          1,00149333;      12,9012231685694317;
27/01/1995;     45,53;          1,00149000;      12,9204459910906001;
30/01/1995;     45,89;          1,00150000;      12,9398266600772360;
31/01/1995;     46,14;          1,00150667;      12,9593227087111746;
01/02/1995;     56,28;          1,00177333;      12,9823038644502134;
02/02/1995;     56,67;          1,00178333;      13,0054555964008034;
03/02/1995;     56,94;          1,00179000;      13,0287353619183608;
06/02/1995;     56,94;          1,00179000;      13,0520567982161947;
07/02/1995;     56,81;          1,00178667;      13,0753765165358636;
08/02/1995;     56,81;          1,00178667;      13,0987378994966628;
09/02/1995;     56,67;          1,00178333;      13,1220972717549721;
10/02/1995;     56,67;          1,00178333;      13,1454983014826109;
13/02/1995;     56,67;          1,00178333;      13,1689410629685939;
14/02/1995;     56,54;          1,00178000;      13,1923817780606780;
15/02/1995;     56,54;          1,00178000;      13,2158642176256260;
16/02/1995;     56,41;          1,00177667;      13,2393444471051549;
17/02/1995;     56,41;          1,00177667;      13,2628663932039933;
20/02/1995;     56,28;          1,00177333;      13,2863858320650537;
21/02/1995;     56,28;          1,00177333;      13,3099469786526296;
22/02/1995;     56,28;          1,00177333;      13,3335499069282837;
23/02/1995;     56,28;          1,00177333;      13,3571946909847368;
24/02/1995;     56,28;          1,00177333;      13,3808814050461008;
01/03/1995;     41,67;          1,00138333;      13,3993915797201432;
02/03/1995;     41,56;          1,00138000;      13,4178827401001570;
03/03/1995;     41,67;          1,00138333;      13,4364440998310197;
06/03/1995;     41,67;          1,00138333;      13,4550311360476390;
07/03/1995;     41,67;          1,00138333;      13,4736438842690678;
08/03/1995;     41,67;          1,00138333;      13,4922823800634937;
09/03/1995;     41,67;          1,00138333;      13,5109466590483069;
10/03/1995;     65,87;          1,00201000;      13,5381036618329940;
13/03/1995;     65,73;          1,00200667;      13,5652701683080844;
14/03/1995;     65,59;          1,00200333;      13,5924458809943611;
15/03/1995;     65,73;          1,00200667;      13,6197214343703760;
16/03/1995;     65,73;          1,00200667;      13,6470517207810840;
